course_code,term,term_idx,avg_score,pass_rate,so1_attainment,so2_attainment,so3_attainment,so4_attainment,so5_attainment,so6_attainment,so7_attainment,composite_so_index,trend_value,current_term_failed,next_term_risk
AIE1002,2019F,0,82.01,98.73,84.25,,,,,,,84.25,0.0,0,0
AIE1002,2020S,1,83.6,98.51,86.07,,,,,,,86.07,1.83,0,0
AIE1002,2020F,2,82.28,97.3,82.69,,,,,,,82.69,-3.38,0,0
AIE1002,2021S,3,84.11,98.59,85.89,,,,,,,85.89,3.2,0,1
AIE1002,2021F,4,82.76,96.0,80.15,,,,,,,80.15,-5.74,1,0
AIE1002,2022S,5,81.68,100.0,83.21,,,,,,,83.21,3.06,0,0
AIE1002,2022F,6,83.29,100.0,83.21,,,,,,,83.21,0.0,0,1
AIE1002,2023S,7,79.58,96.25,78.51,,,,,,,78.51,-4.7,1,0
AIE1002,2023F,8,85.44,100.0,85.84,,,,,,,85.84,7.33,0,1
AIE1003,2019F,0,71.99,89.83,69.84,,,,,,,69.84,0.0,0,0
AIE1003,2020S,1,68.66,75.51,70.88,,,,,,,70.88,1.04,0,0
AIE1003,2020F,2,67.16,79.49,70.1,,,,,,,70.1,-0.78,0,1
AIE1003,2021S,3,67.42,81.25,64.49,,,,,,,64.49,-5.62,1,1
AIE1003,2021F,4,63.66,64.56,62.84,,,,,,,62.84,-1.64,1,1
AIE1003,2022S,5,57.88,46.43,59.71,,,,,,,59.71,-3.14,1,1
AIE1003,2022F,6,58.52,48.72,60.87,,,,,,,60.87,1.17,1,1
AIE1003,2023S,7,53.31,26.56,54.46,,,,,,,54.46,-6.41,1,1
AIE1003,2023F,8,52.19,7.69,50.63,,,,,,,50.63,-3.83,1,1
AIE1005,2019F,0,74.81,92.59,,76.8,75.41,,75.27,,,75.83,0.0,0,0
AIE1005,2020S,1,72.64,86.84,,74.47,74.97,,72.91,,,74.12,-1.71,0,0
AIE1005,2020F,2,71.07,86.36,,73.84,71.1,,70.45,,,71.79,-2.32,0,1
AIE1005,2021S,3,68.28,70.73,,66.15,65.62,,68.59,,,66.79,-5.01,1,0
AIE1005,2021F,4,68.51,90.74,,66.65,68.87,,70.7,,,68.74,1.95,0,0
AIE1005,2022S,5,65.58,73.24,,66.96,64.16,,65.03,,,65.38,-3.36,0,1
AIE1005,2022F,6,62.66,56.06,,65.27,61.24,,62.18,,,62.9,-2.48,1,1
AIE1005,2023S,7,62.37,53.19,,60.82,62.93,,65.14,,,62.96,0.07,1,1
AIE1005,2023F,8,61.9,51.92,,62.64,61.66,,64.84,,,63.04,0.08,1,1
AIE1008,2019F,0,75.37,93.33,,73.52,,,75.28,,,74.4,0.0,0,0
AIE1008,2020S,1,73.49,91.25,,75.63,,,71.81,,,73.72,-0.68,0,1
AIE1008,2020F,2,68.06,76.56,,71.04,,,66.52,,,68.78,-4.94,1,0
AIE1008,2021S,3,69.22,80.33,,70.83,,,69.42,,,70.13,1.34,0,0
AIE1008,2021F,4,66.33,65.12,,67.76,,,68.14,,,67.95,-2.18,0,1
AIE1008,2022S,5,64.35,65.71,,63.54,,,62.27,,,62.9,-5.05,1,1
AIE1008,2022F,6,64.06,56.92,,65.62,,,63.42,,,64.52,1.62,1,1
AIE1008,2023S,7,60.12,54.9,,57.36,,,62.64,,,60.0,-4.52,1,1
AIE1008,2023F,8,58.42,49.23,,57.52,,,58.88,,,58.2,-1.8,1,1
AIE1009,2019F,0,76.12,97.14,,77.23,74.74,,78.24,,,76.73,0.0,0,0
AIE1009,2020S,1,76.98,92.16,,77.79,74.62,,76.7,,,76.37,-0.36,0,0
AIE1009,2020F,2,75.86,96.0,,77.21,76.58,,77.66,,,77.15,0.78,0,1
AIE1009,2021S,3,69.17,82.54,,66.85,71.4,,72.05,,,70.1,-7.05,1,0
AIE1009,2021F,4,70.48,81.25,,69.11,73.21,,72.52,,,71.61,1.52,0,0
AIE1009,2022S,5,71.66,86.11,,71.38,70.17,,72.22,,,71.26,-0.35,0,1
AIE1009,2022F,6,65.91,69.64,,63.76,65.4,,68.42,,,65.86,-5.4,1,0
AIE1009,2023S,7,66.35,73.85,,65.24,68.49,,65.53,,,66.42,0.56,0,0
AIE1009,2023F,8,65.86,72.86,,68.44,64.18,,66.97,,,66.53,0.11,0,1
AIE1013,2019F,0,54.19,26.67,,56.5,52.36,,52.2,,,53.69,0.0,1,1
AIE1013,2020S,1,54.79,27.12,,56.13,56.52,,57.36,,,56.67,2.98,1,1
AIE1013,2020F,2,56.73,26.67,,55.99,57.71,,55.15,,,56.28,-0.39,1,1
AIE1013,2021S,3,54.9,31.58,,52.18,55.56,,52.65,,,53.46,-2.82,1,1
AIE1013,2021F,4,56.43,27.27,,56.39,53.6,,54.7,,,54.9,1.43,1,1
AIE1013,2022S,5,55.79,26.32,,53.79,55.53,,57.63,,,55.65,0.75,1,1
AIE1013,2022F,6,57.3,38.6,,55.87,56.24,,57.98,,,56.7,1.05,1,1
AIE1013,2023S,7,53.06,20.37,,50.35,52.06,,55.41,,,52.61,-4.09,1,1
AIE1013,2023F,8,53.28,28.0,,54.83,51.27,,55.34,,,53.81,1.21,1,1
AIE1016,2019F,0,76.93,95.35,74.15,,,,,79.07,,76.61,0.0,0,0
AIE1016,2020S,1,79.75,94.87,78.78,,,,,82.53,,80.66,4.05,0,0
AIE1016,2020F,2,78.69,97.26,81.6,,,,,80.43,,81.02,0.36,0,0
AIE1016,2021S,3,79.3,92.5,78.9,,,,,79.5,,79.2,-1.82,0,0
AIE1016,2021F,4,76.82,96.0,78.23,,,,,74.73,,76.48,-2.72,0,0
AIE1016,2022S,5,80.66,96.15,80.51,,,,,79.58,,80.05,3.57,0,0
AIE1016,2022F,6,78.44,100.0,79.43,,,,,75.9,,77.66,-2.38,0,0
AIE1016,2023S,7,79.37,97.5,77.44,,,,,76.98,,77.21,-0.45,0,0
AIE1016,2023F,8,79.45,98.11,77.09,,,,,77.03,,77.06,-0.15,0,0
AIE1019,2019F,0,75.2,94.83,,73.19,73.43,,73.46,,,73.36,0.0,0,0
AIE1019,2020S,1,75.48,97.47,,74.93,76.11,,77.37,,,76.13,2.77,0,0
AIE1019,2020F,2,72.69,89.06,,74.17,72.93,,71.91,,,73.0,-3.13,0,0
AIE1019,2021S,3,72.98,97.5,,74.0,70.33,,75.46,,,73.27,0.26,0,1
AIE1019,2021F,4,70.11,87.18,,68.63,71.32,,67.62,,,69.19,-4.08,1,0
